locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFBFMPEI_00001	CDS	228				hypothetical protein
LFBFMPEI_00002	CDS	150				hypothetical protein
LFBFMPEI_00003	CDS	2520	cbpA	2.4.1.20	COG3459	Cellobiose phosphorylase
LFBFMPEI_00004	CDS	438				hypothetical protein
LFBFMPEI_00005	CDS	606				hypothetical protein
LFBFMPEI_00006	CDS	1089	aroC	4.2.3.5	COG0082	Chorismate synthase
LFBFMPEI_00007	CDS	855	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
LFBFMPEI_00008	CDS	771	pyrK_1		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
LFBFMPEI_00009	CDS	798	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
LFBFMPEI_00010	CDS	1785	rpsA		COG0539	30S ribosomal protein S1
LFBFMPEI_00011	CDS	2376	bamA_1			Outer membrane protein assembly factor BamA
LFBFMPEI_00012	CDS	5124				hypothetical protein
LFBFMPEI_00013	CDS	1359	mepA_1			Multidrug export protein MepA
LFBFMPEI_00014	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
LFBFMPEI_00015	CDS	357				hypothetical protein
LFBFMPEI_00016	CDS	420	mscL		COG1970	Large-conductance mechanosensitive channel
LFBFMPEI_00017	CDS	1071	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
LFBFMPEI_00018	CDS	915	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
LFBFMPEI_00019	CDS	939	bmrU	2.7.1.-	COG1597	Putative lipid kinase BmrU
LFBFMPEI_00020	CDS	699	glxR		COG0664	CRP-like cAMP-activated global transcriptional regulator
LFBFMPEI_00021	CDS	1932				hypothetical protein
LFBFMPEI_00022	CDS	1257	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
LFBFMPEI_00023	CDS	1434				hypothetical protein
LFBFMPEI_00024	CDS	588				hypothetical protein
LFBFMPEI_00025	CDS	318	rplU		COG0261	50S ribosomal protein L21
LFBFMPEI_00026	CDS	288	rpmA		COG0211	50S ribosomal protein L27
LFBFMPEI_00027	CDS	1500	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
LFBFMPEI_00028	CDS	1392	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
LFBFMPEI_00029	CDS	594	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
LFBFMPEI_00030	CDS	1557	leuA_2	2.3.3.13	COG0119	2-isopropylmalate synthase
LFBFMPEI_00031	CDS	1062	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
LFBFMPEI_00032	CDS	678				hypothetical protein
LFBFMPEI_00033	CDS	2310	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
LFBFMPEI_00034	CDS	627				hypothetical protein
LFBFMPEI_00035	CDS	1395				hypothetical protein
LFBFMPEI_00036	CDS	2706	valS	6.1.1.9		Valine--tRNA ligase
LFBFMPEI_00037	CDS	1548				hypothetical protein
LFBFMPEI_00038	CDS	615				hypothetical protein
LFBFMPEI_00039	CDS	2433				hypothetical protein
LFBFMPEI_00040	CDS	675	rnd	3.1.13.5		Ribonuclease D
LFBFMPEI_00041	CDS	1212	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
LFBFMPEI_00042	CDS	1386	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
LFBFMPEI_00043	CDS	2640	gyrA_1	5.99.1.3	COG0188	DNA gyrase subunit A
LFBFMPEI_00044	CDS	1218				hypothetical protein
LFBFMPEI_00045	CDS	1107				hypothetical protein
LFBFMPEI_00046	CDS	1230				hypothetical protein
LFBFMPEI_00047	CDS	1314	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
LFBFMPEI_00048	CDS	1068	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
LFBFMPEI_00049	CDS	918		1.1.1.81	COG0111	Hydroxypyruvate reductase
LFBFMPEI_00050	CDS	252				hypothetical protein
LFBFMPEI_00051	CDS	936				hypothetical protein
LFBFMPEI_00052	CDS	1644	pfp	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
LFBFMPEI_00053	CDS	273				hypothetical protein
LFBFMPEI_00054	CDS	516				hypothetical protein
LFBFMPEI_00055	CDS	2886				hypothetical protein
LFBFMPEI_00056	CDS	339				hypothetical protein
LFBFMPEI_00057	CDS	2085				hypothetical protein
LFBFMPEI_00058	CDS	1326				hypothetical protein
LFBFMPEI_00059	CDS	1317				hypothetical protein
LFBFMPEI_00060	CDS	714	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
LFBFMPEI_00061	CDS	948				hypothetical protein
LFBFMPEI_00062	CDS	735				hypothetical protein
LFBFMPEI_00063	CDS	948		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
LFBFMPEI_00064	CDS	900	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
LFBFMPEI_00065	CDS	2040	uvrB			UvrABC system protein B
LFBFMPEI_00066	CDS	831	bamD			Outer membrane protein assembly factor BamD
LFBFMPEI_00067	CDS	339				hypothetical protein
LFBFMPEI_00068	CDS	450				hypothetical protein
LFBFMPEI_00069	CDS	129				hypothetical protein
LFBFMPEI_00070	CDS	807	nudC_1	3.6.1.22		NADH pyrophosphatase
LFBFMPEI_00071	CDS	1845	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
LFBFMPEI_00072	CDS	1158				hypothetical protein
LFBFMPEI_00073	CDS	2094	glgB_1	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
LFBFMPEI_00074	CDS	444			COG2731	putative protein
LFBFMPEI_00075	CDS	1107				hypothetical protein
LFBFMPEI_00076	CDS	741	kdsB	2.7.7.90	COG1212	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
LFBFMPEI_00077	CDS	987				hypothetical protein
LFBFMPEI_00078	CDS	903				hypothetical protein
LFBFMPEI_00079	CDS	543				hypothetical protein
LFBFMPEI_00080	CDS	1818	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
LFBFMPEI_00081	CDS	1338	mepA_2			Multidrug export protein MepA
LFBFMPEI_00082	CDS	411				hypothetical protein
LFBFMPEI_00083	CDS	1929				hypothetical protein
LFBFMPEI_00084	CDS	1170				hypothetical protein
LFBFMPEI_00085	CDS	537	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
LFBFMPEI_00086	CDS	426	sufE		COG2166	Cysteine desulfuration protein SufE
LFBFMPEI_00087	CDS	1275				hypothetical protein
LFBFMPEI_00088	CDS	999				hypothetical protein
LFBFMPEI_00089	CDS	789				hypothetical protein
LFBFMPEI_00090	CDS	1980				hypothetical protein
LFBFMPEI_00091	CDS	1506				hypothetical protein
LFBFMPEI_00092	tRNA	73				tRNA-Arg(cct)
LFBFMPEI_00093	CDS	792				hypothetical protein
LFBFMPEI_00094	CDS	885	pfkB_1	2.7.1.11	COG0524	ATP-dependent 6-phosphofructokinase
LFBFMPEI_00095	CDS	1203				hypothetical protein
LFBFMPEI_00096	CDS	1725				hypothetical protein
LFBFMPEI_00097	CDS	1734				SusD-like protein
LFBFMPEI_00098	CDS	3123	susC_1			TonB-dependent receptor SusC
LFBFMPEI_00099	CDS	2205	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
LFBFMPEI_00100	CDS	2982				hypothetical protein
LFBFMPEI_00101	CDS	1134				hypothetical protein
LFBFMPEI_00102	CDS	942				hypothetical protein
LFBFMPEI_00103	CDS	276	hupB		COG0776	DNA-binding protein HU-beta
LFBFMPEI_00104	CDS	498				hypothetical protein
LFBFMPEI_00105	CDS	1062	rnc	3.1.26.3		Ribonuclease 3
LFBFMPEI_00106	CDS	1263	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
LFBFMPEI_00107	CDS	237	acpP_1		COG0236	Acyl carrier protein
LFBFMPEI_00108	CDS	846	kduI_1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
LFBFMPEI_00109	CDS	819	idnO	1.1.1.69		5-keto-D-gluconate 5-reductase
LFBFMPEI_00110	CDS	375	dfx	1.15.1.2	COG2033	Desulfoferrodoxin
LFBFMPEI_00111	CDS	456				hypothetical protein
LFBFMPEI_00112	CDS	678				hypothetical protein
LFBFMPEI_00113	CDS	816				hypothetical protein
LFBFMPEI_00114	CDS	981				hypothetical protein
LFBFMPEI_00115	CDS	2733				hypothetical protein
LFBFMPEI_00116	CDS	567				hypothetical protein
LFBFMPEI_00117	CDS	765				hypothetical protein
LFBFMPEI_00118	CDS	2145	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
LFBFMPEI_00119	CDS	594				hypothetical protein
LFBFMPEI_00120	CDS	699				hypothetical protein
LFBFMPEI_00121	CDS	1548	comM		COG0606	Competence protein ComM
LFBFMPEI_00122	tRNA	87				tRNA-Leu(taa)
LFBFMPEI_00123	CDS	741				hypothetical protein
LFBFMPEI_00124	CDS	2310	rnr	3.1.13.1	COG0557	Ribonuclease R
LFBFMPEI_00125	CDS	1032	auaH	1.1.1.394		Aurachin B dehydrogenase
LFBFMPEI_00126	CDS	996				hypothetical protein
LFBFMPEI_00127	CDS	1506	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
LFBFMPEI_00128	CDS	1299	tyrS	6.1.1.1		Tyrosine--tRNA ligase
LFBFMPEI_00129	CDS	408	rnpA	3.1.26.5		Ribonuclease P protein component
LFBFMPEI_00130	CDS	747				hypothetical protein
LFBFMPEI_00131	CDS	831				hypothetical protein
LFBFMPEI_00132	CDS	1260	metK	2.5.1.6		S-adenosylmethionine synthase
LFBFMPEI_00133	CDS	2829				hypothetical protein
LFBFMPEI_00134	CDS	951	xerD_1			Tyrosine recombinase XerD
LFBFMPEI_00135	CDS	447	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
