locus_tag	ftype	length_bp	gene	EC_number	COG	product
CLEELPEM_00001	CDS	978	fba_1	4.1.2.13		Fructose-bisphosphate aldolase
CLEELPEM_00002	CDS	2400	leuS	6.1.1.4		Leucine--tRNA ligase
CLEELPEM_00003	CDS	1026				hypothetical protein
CLEELPEM_00004	CDS	2091	fusA_1		COG0480	Elongation factor G
CLEELPEM_00005	CDS	1101				hypothetical protein
CLEELPEM_00006	CDS	1302	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
CLEELPEM_00007	CDS	1293	mgl	4.4.1.11	COG0626	L-methionine gamma-lyase
CLEELPEM_00008	CDS	795	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
CLEELPEM_00009	CDS	1749				hypothetical protein
CLEELPEM_00010	CDS	2277	agaA_1	3.2.1.22		Alpha-galactosidase AgaA
CLEELPEM_00011	CDS	885	rhaS_1			HTH-type transcriptional activator RhaS
CLEELPEM_00012	CDS	2190	agaSK			Bifunctional alpha-galactosidase/sucrose kinase AgaSK
CLEELPEM_00013	CDS	249				hypothetical protein
CLEELPEM_00014	CDS	2175	feoB_1		COG0370	Fe(2+) transporter FeoB
CLEELPEM_00015	CDS	225				hypothetical protein
CLEELPEM_00016	CDS	213				hypothetical protein
CLEELPEM_00017	CDS	219				hypothetical protein
CLEELPEM_00018	CDS	1317	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
CLEELPEM_00019	CDS	276				hypothetical protein
CLEELPEM_00020	CDS	1233				hypothetical protein
CLEELPEM_00021	CDS	1338	der			GTPase Der
CLEELPEM_00022	CDS	654	plsY	2.3.1.-	COG0344	Glycerol-3-phosphate acyltransferase
CLEELPEM_00023	CDS	1014	gpsA_1	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
CLEELPEM_00024	CDS	1233	tyrS	6.1.1.1		Tyrosine--tRNA ligase
CLEELPEM_00025	CDS	1668	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
CLEELPEM_00026	CDS	480	ilvH_1	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
CLEELPEM_00027	CDS	549	ilvH_2	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
CLEELPEM_00028	CDS	1026	ilvC	1.1.1.86		Ketol-acid reductoisomerase (NADP(+))
CLEELPEM_00029	CDS	729				hypothetical protein
CLEELPEM_00030	CDS	609	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
CLEELPEM_00031	CDS	1056	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
CLEELPEM_00032	CDS	501	zapA			Cell division protein ZapA
CLEELPEM_00033	CDS	2319				hypothetical protein
CLEELPEM_00034	CDS	1503	ftsW_1			Putative lipid II flippase FtsW
CLEELPEM_00035	CDS	1512	pbpA		COG0768	Penicillin-binding protein A
CLEELPEM_00036	CDS	240				hypothetical protein
CLEELPEM_00037	CDS	465	smpB		COG0691	SsrA-binding protein
CLEELPEM_00038	tmRNA	355	ssrA			transfer-messenger RNA, SsrA
CLEELPEM_00039	CDS	2958				hypothetical protein
CLEELPEM_00040	CDS	351			COG0662	Oxalate-binding protein
CLEELPEM_00041	CDS	1113				hypothetical protein
CLEELPEM_00042	CDS	672				hypothetical protein
CLEELPEM_00043	CDS	489				hypothetical protein
CLEELPEM_00044	CDS	375				hypothetical protein
CLEELPEM_00045	CDS	864				hypothetical protein
CLEELPEM_00046	CDS	777				hypothetical protein
CLEELPEM_00047	CDS	1485				hypothetical protein
CLEELPEM_00048	CDS	795				hypothetical protein
CLEELPEM_00049	CDS	1290				hypothetical protein
CLEELPEM_00050	CDS	1236				hypothetical protein
CLEELPEM_00051	CDS	1536				hypothetical protein
CLEELPEM_00052	CDS	1443				hypothetical protein
CLEELPEM_00053	CDS	1140				hypothetical protein
CLEELPEM_00054	CDS	1575	sacA_1	3.2.1.26		Sucrose-6-phosphate hydrolase
CLEELPEM_00055	CDS	2928				hypothetical protein
CLEELPEM_00056	CDS	420				hypothetical protein
CLEELPEM_00057	CDS	987	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
CLEELPEM_00058	CDS	798				hypothetical protein
CLEELPEM_00059	CDS	1317				hypothetical protein
CLEELPEM_00060	CDS	360				hypothetical protein
CLEELPEM_00061	CDS	150	rpmG1		COG0267	50S ribosomal protein L33 1
CLEELPEM_00062	CDS	222	secE			Protein translocase subunit SecE
CLEELPEM_00063	CDS	774	nusG			Transcription termination/antitermination protein NusG
CLEELPEM_00064	CDS	426	rplK			50S ribosomal protein L11
CLEELPEM_00065	CDS	690	rplA			50S ribosomal protein L1
CLEELPEM_00066	CDS	1329				hypothetical protein
CLEELPEM_00067	CDS	519	rplJ		COG0244	50S ribosomal protein L10
CLEELPEM_00068	CDS	372	rplL			50S ribosomal protein L7/L12
CLEELPEM_00069	CDS	3888	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
CLEELPEM_00070	CDS	3756	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
CLEELPEM_00071	CDS	420	rpsL		COG0048	30S ribosomal protein S12
CLEELPEM_00072	CDS	471	rpsG		COG0049	30S ribosomal protein S7
CLEELPEM_00073	CDS	2112	fusA_2		COG0480	Elongation factor G
CLEELPEM_00074	CDS	1044	tuf_1		COG0050	Elongation factor Tu
CLEELPEM_00075	CDS	138	tuf_2			Elongation factor Tu
CLEELPEM_00076	CDS	2175	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
CLEELPEM_00077	CDS	1329				hypothetical protein
CLEELPEM_00078	CDS	1719				hypothetical protein
CLEELPEM_00079	CDS	768				hypothetical protein
CLEELPEM_00080	CDS	303				hypothetical protein
CLEELPEM_00081	CDS	330				hypothetical protein
CLEELPEM_00082	CDS	690				hypothetical protein
CLEELPEM_00083	CDS	558				hypothetical protein
CLEELPEM_00084	CDS	573				hypothetical protein
CLEELPEM_00085	CDS	1326				hypothetical protein
CLEELPEM_00086	CDS	822	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
CLEELPEM_00087	CDS	771	znuC	3.6.3.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
CLEELPEM_00088	CDS	1002	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
CLEELPEM_00089	CDS	426	perR_1		COG0735	Peroxide operon regulator
CLEELPEM_00090	CDS	2598	copA	3.6.3.54		putative copper-importing P-type ATPase A
CLEELPEM_00091	CDS	387				hypothetical protein
CLEELPEM_00092	CDS	627				hypothetical protein
CLEELPEM_00093	CDS	264				hypothetical protein
CLEELPEM_00094	CDS	1875	ftsH4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
CLEELPEM_00095	CDS	1605				hypothetical protein
CLEELPEM_00096	CDS	1134	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
CLEELPEM_00097	CDS	978	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
CLEELPEM_00098	CDS	357	arnE_1			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
CLEELPEM_00099	CDS	366	arnE_2			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
CLEELPEM_00100	CDS	1989				hypothetical protein
CLEELPEM_00101	CDS	492				hypothetical protein
CLEELPEM_00102	CDS	984				hypothetical protein
CLEELPEM_00103	CDS	1173		1.1.1.38		NAD-dependent malic enzyme
CLEELPEM_00104	CDS	555				hypothetical protein
CLEELPEM_00105	CDS	714	arlR		COG0745	Response regulator ArlR
CLEELPEM_00106	CDS	1272	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
CLEELPEM_00107	CDS	531	rimP			Ribosome maturation factor RimP
CLEELPEM_00108	CDS	1242	nusA		COG0195	Transcription termination/antitermination protein NusA
CLEELPEM_00109	CDS	273				hypothetical protein
CLEELPEM_00110	CDS	324	rplGA		COG1358	putative ribosomal protein YlxQ
CLEELPEM_00111	CDS	3009	lepA_1			Elongation factor 4
CLEELPEM_00112	CDS	411	rbfA			Ribosome-binding factor A
CLEELPEM_00113	CDS	966	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
CLEELPEM_00114	CDS	975	truB	5.4.99.25		tRNA pseudouridine synthase B
CLEELPEM_00115	CDS	924	ribF		COG0196	Riboflavin biosynthesis protein RibF
CLEELPEM_00116	CDS	267	rpsO		COG0184	30S ribosomal protein S15
CLEELPEM_00117	CDS	2109	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
