locus_tag	ftype	length_bp	gene	EC_number	COG	product
LABOMGJG_00001	CDS	1644	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
LABOMGJG_00002	CDS	114				hypothetical protein
LABOMGJG_00003	CDS	1065				hypothetical protein
LABOMGJG_00004	CDS	936				hypothetical protein
LABOMGJG_00005	CDS	120				hypothetical protein
LABOMGJG_00006	CDS	315	sufT			Fe-S protein maturation auxiliary factor SufT
LABOMGJG_00007	CDS	798	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
LABOMGJG_00008	CDS	819	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
LABOMGJG_00009	CDS	483				hypothetical protein
LABOMGJG_00010	tRNA	83				tRNA-Leu(tag)
LABOMGJG_00011	CDS	1245		3.4.24.-	COG0612	putative zinc protease
LABOMGJG_00012	CDS	3306				hypothetical protein
LABOMGJG_00013	CDS	1590				hypothetical protein
LABOMGJG_00014	CDS	1197				hypothetical protein
LABOMGJG_00015	CDS	2838				hypothetical protein
LABOMGJG_00016	CDS	375				hypothetical protein
LABOMGJG_00017	CDS	456	mraZ		COG2001	Transcriptional regulator MraZ
LABOMGJG_00018	CDS	174				hypothetical protein
LABOMGJG_00019	CDS	1161	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
LABOMGJG_00020	CDS	318				hypothetical protein
LABOMGJG_00021	CDS	1806	pbpC	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PbpC
LABOMGJG_00022	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
LABOMGJG_00023	CDS	1284	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
LABOMGJG_00024	CDS	1281	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
LABOMGJG_00025	CDS	2613	prr	1.2.1.19		Gamma-aminobutyraldehyde dehydrogenase
LABOMGJG_00026	CDS	1236	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
LABOMGJG_00027	CDS	1224				hypothetical protein
LABOMGJG_00028	CDS	1074	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LABOMGJG_00029	CDS	2214	hppA	3.6.1.1	COG3808	K(+)-stimulated pyrophosphate-energized sodium pump
LABOMGJG_00030	CDS	1194				hypothetical protein
LABOMGJG_00031	CDS	597	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
LABOMGJG_00032	CDS	1617				hypothetical protein
LABOMGJG_00033	CDS	132				hypothetical protein
LABOMGJG_00034	CDS	2208	ppdK_1	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
LABOMGJG_00035	CDS	531	ppdK_2	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
LABOMGJG_00036	CDS	618				hypothetical protein
LABOMGJG_00037	CDS	783				hypothetical protein
LABOMGJG_00038	CDS	1422				hypothetical protein
LABOMGJG_00039	CDS	957		2.4.-.-		putative glycosyltransferase
LABOMGJG_00040	CDS	438				hypothetical protein
LABOMGJG_00041	CDS	372				hypothetical protein
LABOMGJG_00042	CDS	159			COG1773	Rubredoxin
LABOMGJG_00043	CDS	1152	norV			Anaerobic nitric oxide reductase flavorubredoxin
LABOMGJG_00044	CDS	519				hypothetical protein
LABOMGJG_00045	CDS	2784			COG0247	putative protein
LABOMGJG_00046	CDS	1182	prfB			Peptide chain release factor 2
LABOMGJG_00047	CDS	1215				hypothetical protein
LABOMGJG_00048	CDS	363				hypothetical protein
LABOMGJG_00049	CDS	1020				hypothetical protein
LABOMGJG_00050	CDS	450	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
LABOMGJG_00051	CDS	1644				hypothetical protein
LABOMGJG_00052	CDS	2493				hypothetical protein
LABOMGJG_00053	CDS	1563				hypothetical protein
LABOMGJG_00054	CDS	2898				hypothetical protein
LABOMGJG_00055	CDS	2745	btuB_1			Vitamin B12 transporter BtuB
LABOMGJG_00056	CDS	1929	dnaK			Chaperone protein DnaK
LABOMGJG_00057	CDS	183				hypothetical protein
LABOMGJG_00058	CDS	2169	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
LABOMGJG_00059	CDS	813				hypothetical protein
LABOMGJG_00060	CDS	1053	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
LABOMGJG_00061	CDS	3195				hypothetical protein
LABOMGJG_00062	CDS	903				hypothetical protein
LABOMGJG_00063	CDS	813				hypothetical protein
LABOMGJG_00064	CDS	1338	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
LABOMGJG_00065	CDS	435				hypothetical protein
LABOMGJG_00066	CDS	411				hypothetical protein
LABOMGJG_00067	CDS	666				hypothetical protein
LABOMGJG_00068	CDS	384				hypothetical protein
LABOMGJG_00069	CDS	3102	lptD_1			LPS-assembly protein LptD
LABOMGJG_00070	CDS	597	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
LABOMGJG_00071	CDS	1317	der		COG1160	GTPase Der
LABOMGJG_00072	CDS	525				hypothetical protein
LABOMGJG_00073	CDS	3354				hypothetical protein
LABOMGJG_00074	CDS	1191				hypothetical protein
LABOMGJG_00075	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
LABOMGJG_00076	CDS	330				hypothetical protein
LABOMGJG_00077	CDS	540	aroK	2.7.1.71	COG0703	Shikimate kinase
LABOMGJG_00078	CDS	258	sufE		COG2166	Cysteine desulfuration protein SufE
LABOMGJG_00079	CDS	219	cysS_1	6.1.1.16		Cysteine--tRNA ligase
LABOMGJG_00080	CDS	666				hypothetical protein
LABOMGJG_00081	CDS	432				hypothetical protein
LABOMGJG_00082	CDS	1917	gyrB_1	5.99.1.3	COG0187	DNA gyrase subunit B
LABOMGJG_00083	CDS	957	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
LABOMGJG_00084	CDS	117				hypothetical protein
LABOMGJG_00085	CDS	345				hypothetical protein
LABOMGJG_00086	CDS	123				hypothetical protein
LABOMGJG_00087	CDS	1473	cca	2.7.7.72		CCA-adding enzyme
LABOMGJG_00088	CDS	1095				hypothetical protein
LABOMGJG_00089	CDS	876				hypothetical protein
LABOMGJG_00090	CDS	1539	yicI	3.2.1.177	COG1501	Alpha-xylosidase
LABOMGJG_00091	CDS	1413				hypothetical protein
LABOMGJG_00092	CDS	795				hypothetical protein
LABOMGJG_00093	CDS	1716				hypothetical protein
LABOMGJG_00094	CDS	3003	susC_1			TonB-dependent receptor SusC
LABOMGJG_00095	CDS	1929				hypothetical protein
LABOMGJG_00096	CDS	1131				hypothetical protein
LABOMGJG_00097	CDS	777	srlR		COG1349	Glucitol operon repressor
LABOMGJG_00098	CDS	1416				hypothetical protein
LABOMGJG_00099	CDS	3213				hypothetical protein
LABOMGJG_00100	CDS	1287				hypothetical protein
LABOMGJG_00101	CDS	444				hypothetical protein
LABOMGJG_00102	CDS	1011				hypothetical protein
LABOMGJG_00103	CDS	1164				hypothetical protein
LABOMGJG_00104	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
LABOMGJG_00105	CDS	1362				hypothetical protein
LABOMGJG_00106	CDS	1230	kbaZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ
LABOMGJG_00107	CDS	1119	agaS	3.5.99.-	COG2222	Putative D-galactosamine-6-phosphate deaminase AgaS
LABOMGJG_00108	CDS	156				hypothetical protein
LABOMGJG_00109	CDS	2895				hypothetical protein
LABOMGJG_00110	CDS	141				hypothetical protein
LABOMGJG_00111	CDS	2265				hypothetical protein
LABOMGJG_00112	CDS	570				hypothetical protein
LABOMGJG_00113	CDS	1074	nahK	2.7.1.162		N-acetylhexosamine 1-kinase
LABOMGJG_00114	CDS	627		3.1.3.-	COG1011	D-ribitol-5-phosphate phosphatase
LABOMGJG_00115	CDS	1527				hypothetical protein
LABOMGJG_00116	CDS	414				hypothetical protein
LABOMGJG_00117	CDS	741				hypothetical protein
LABOMGJG_00118	CDS	1242				hypothetical protein
LABOMGJG_00119	tRNA	87				tRNA-Leu(taa)
LABOMGJG_00120	CDS	438				hypothetical protein
LABOMGJG_00121	CDS	195				hypothetical protein
LABOMGJG_00122	tRNA	74				tRNA-Thr(tgt)
LABOMGJG_00123	tRNA	83				tRNA-Tyr(gta)
LABOMGJG_00124	tRNA	74				tRNA-Gly(tcc)
LABOMGJG_00125	tRNA	73				tRNA-Thr(ggt)
LABOMGJG_00126	CDS	1188	tuf		COG0050	Elongation factor Tu
LABOMGJG_00127	tRNA	72				tRNA-Trp(cca)
LABOMGJG_00128	CDS	192				hypothetical protein
LABOMGJG_00129	CDS	552	nusG		COG0250	Transcription termination/antitermination protein NusG
